year	CODIGO	MUNICIPIO	pct_pob_pobre	exten_km2	pob_rural	pob_urb	pob_tot	part_urb	part_rural	densi	pob_mas	pob_com_May18	pob_fem	pob_est_INE	pob_com_May6	pob_com_May10	pea	pea_sec_prima	pea_sec_secun	pea_sec_ter	hog_sit_pobre	hog_sit_pobre2	muj_jefa_hogar	muj_jefa_hogar_pobre	muj_jefa_hogar_pobre2	totemp	totPYM	TotMicro	TotalGrande	part_PYM	part_Micro
2011	3103	TIERRA AMARILLA	15.4	11191	5918	7987	13905	57.43976987	42.56023013	1.242516308	8027	9862	5878	13905	12519	11654	5391	2695	150	1580	1854	2665	1576	1038	1319	581	131	375	6	22.54733219	64.54388985
2011	3201	CHAÑARAL	21.9	5772	244	12458	12702	98.07904267	1.92095733	2.200623701	6628	8859	6074	12702	11438	10592	5120	932	265	3097	1428	2363	1485	792	1132	853	152	612	7	17.81946073	71.74677608
2011	3202	DIEGO DE ALMAGRO	9.8	18664	679	10982	11661	94.17717177	5.822828231	0.624785684	6494	8487	5167	11661	10622	9927	7960	1833	735	4707	1058	1592	1105	619	818	719	128	516	10	17.80250348	71.76634214
2011	3301	VALLENAR	19	7084	4768	41750	46518	89.75020422	10.24979578	6.566629023	22763	33325	23755	46518	42366	39537	16802	2762	808	9826	8225	11613	7449	4896	6252	2983	423	2110	10	14.18035535	70.73416024
2011	3302	ALTO DEL CARMEN	6.3	5939	4822	0	4822	0	100	0.811921199	2646	3603	2176	4822	4389	4116	1789	908	33	586	769	1170	441	242	350	394	25	317	0	6.345177665	80.45685279
2011	3303	FREIRINA	15.6	3578	2754	3130	5884	53.19510537	46.80489463	1.644494131	2903	4171	2981	5884	5337	4972	1859	580	86	860	712	1258	694	326	508	306	41	212	0	13.39869281	69.28104575
2011	3304	HUASCO	9.3	1601	1863	6137	8000	76.7125	23.2875	4.996876952	4002	5816	3998	8000	7301	6845	2913	642	181	1639	1378	2105	1172	727	944	433	58	322	1	13.39491917	74.36489607
2011	4101	LA SERENA	13.6	1893	18138	196547	214685	91.55134266	8.448657335	113.4099313	104442	154190	110243	214685	195762	183208	57821	5481	3473	39086	15147	24780	18433	9702	13546	10231	1970	6947	84	19.25520477	67.90147591
2011	4102	COQUIMBO	14.9	1429	15274	199835	215109	92.89941379	7.100586214	150.5311407	106128	154456	108981	215109	195931	183062	59681	6731	4697	37764	16945	28225	17878	9434	13396	8979	1547	6362	68	17.2290901	70.85421539
2011	4103	ANDACOLLO	18.8	310	499	7958	8457	94.09956249	5.900437507	27.28064516	4054	6298	4403	8457	7737	7282	3193	860	197	1382	1895	2852	1502	919	1227	463	94	325	3	20.30237581	70.19438445
2011	4104	LA HIGUERA	14.3	4158	2577	1364	3941	34.61050495	65.38949505	0.947811448	2159	2888	1782	3941	3563	3324	1404	542	32	611	788	1040	315	204	272	214	40	150	0	18.69158879	70.09345794
2011	4105	PAIGUANO	5.8	1495	4536	0	4536	0	100	3.034113712	2327	3372	2209	4536	4127	3867	1583	630	76	707	604	1001	436	239	351	374	29	322	0	7.754010695	86.09625668
2011	4106	VICUÑA	17.3	7610	8733	17825	26558	67.11725281	32.88274719	3.489881735	13294	18656	13264	26558	23966	22245	8468	2912	562	3548	4085	6135	3896	2468	3309	1273	215	914	7	16.88923802	71.79890024
2011	4201	ILLAPEL	14.3	2629	9003	22360	31363	71.29420017	28.70579983	11.92963104	15507	22813	15856	31363	28774	26916	9772	1872	500	5610	4032	6294	3094	1734	2461	1902	266	1372	6	13.98527865	72.13459516
2011	4202	CANELA	14.5	2197	6668	1809	8477	21.34009673	78.65990327	3.858443332	4341	6426	4136	8477	7801	7341	2087	370	71	1187	1758	2411	940	622	818	366	44	287	0	12.02185792	78.41530055
2011	4203	LOS VILOS	15.5	1861	4230	14645	18875	77.58940397	22.41059603	10.14239656	9574	13794	9301	18875	17234	16143	6397	1333	311	3795	3147	4482	2284	1457	1946	1076	138	820	4	12.82527881	76.20817844
2011	4204	SALAMANCA	17.6	3445	10643	15046	25689	58.56981587	41.43018413	7.456894049	14236	19378	11453	25689	23621	22218	9229	2390	489	4788	2918	4921	2635	1271	1870	1828	265	1389	7	14.49671772	75.98468271
2011	4301	OVALLE	26	3835	25749	86310	112059	77.02192595	22.97807405	29.22007823	55100	80270	56959	112059	101971	95153	34906	9480	1541	18733	13698	20940	11870	7341	9758	6142	833	4550	18	13.56235754	74.0801042
2011	4302	COMBARBALÁ	20.1	1896	7708	4510	12218	36.91275168	63.08724832	6.444092827	6082	9476	6136	12218	11352	10757	3915	779	142	2080	2625	3938	2021	1221	1731	641	81	470	1	12.63650546	73.32293292
2011	4303	MONTE PATRIA	14.6	4366	16827	15307	32134	47.63490384	52.36509616	7.36005497	16179	22814	15955	32134	28891	26811	10044	4095	269	3610	4612	7205	3317	1976	2765	1823	236	1392	6	12.94569391	76.35765222
2011	4304	PUNITAQUI	21.3	1339	6041	4378	10419	42.01938766	57.98061234	7.781179985	5240	7456	5179	10419	9433	8770	2841	1211	146	992	2133	2875	1314	945	1184	520	72	374	1	13.84615385	71.92307692
2011	4305	RÍO HURTADO	12.2	2117	4414	0	4414	0	100	2.08502598	2257	3383	2157	4414	4075	3849	1385	573	59	507	877	1319	665	419	574	266	17	215	0	6.390977444	80.82706767
2011	5101	VALPARAÍSO	21	402	493	270473	270966	99.81805835	0.181941646	674.0447761	134596	206859	136370	270966	250823	237776	106599	1808	7779	80823	27456	42730	34148	18286	25478	14089	2708	9291	127	19.22066861	65.94506352
2011	5102	CASABLANCA	12.7	953	8015	21871	29886	73.18142274	26.81857726	31.35991605	15296	21121	14590	29886	27003	25085	8407	1805	1198	4425	2258	3976	2300	1130	1689	1630	327	1081	16	20.06134969	66.3190184
2011	5103	CONCÓN	8.9	76	1447	58460	59907	97.58458945	2.415410553	788.25	28832	43301	31075	59907	54348	50924	12797	600	1027	9466	3190	4806	3165	1904	2501	1974	373	1301	19	18.89564336	65.90678825
2011	5104	JUAN FERNÁNDEZ	13.09	148	77	782	859	91.03608847	8.963911525	5.804054054	525	710	334	859	806	774	335	110	6	184	59	116	42	17	26	85	2	74	0	2.352941176	87.05882353
2011	5105	PUCHUNCAVÍ	14.1	300	2319	13949	16268	85.7450209	14.2549791	54.22666667	8152	12132	8116	16268	14919	14050	4847	601	320	3255	2153	3279	1751	1087	1424	996	132	734	8	13.25301205	73.69477912
2011	5107	QUINTERO	17.2	148	4450	21368	25818	82.76396313	17.23603687	174.4459459	12379	18647	13439	25818	23479	21961	7480	817	625	4601	2753	4291	2744	1571	2145	1536	196	1106	4	12.76041667	72.00520833
2011	5109	VIÑA DEL MAR	15.5	122	0	290781	290781	100	0	2383.45082	139529	223127	151252	290781	269638	255710	111838	1428	8065	86787	18192	32535	33052	13163	20959	19559	3873	12268	178	19.80162585	62.7230431
2011	5201	ISLA DE PASCUA	14.01	164	717	4317	5034	85.7568534	14.2431466	30.69512195	2532	3566	2502	5034	4492	4131	1832	151	165	1429	446	643	468	273	360	90	39	25	9	43.33333333	27.77777778
2011	5301	LOS ANDES	8.1	1248	8769	66312	75081	88.32061374	11.67938626	60.16105769	38396	54013	36685	75081	68682	64248	24060	2427	1531	16917	5364	8796	6345	3197	4638	3952	662	2694	36	16.75101215	68.16801619
2011	5302	CALLE LARGA	7.7	322	6002	5094	11096	45.90843547	54.09156453	34.45962733	5789	8123	5307	11096	10193	9563	3890	1196	237	1842	2122	3059	1391	953	1225	573	86	390	4	15.008726	68.06282723
2011	5303	RINCONADA	9.7	123	876	7135	8011	89.06503558	10.93496442	65.1300813	4088	5941	3923	8011	7334	6895	2530	780	114	1164	1530	2085	889	669	818	428	64	302	3	14.95327103	70.56074766
2011	5304	SAN ESTEBAN	8.3	1362	6544	10930	17474	62.5500744	37.4499256	12.82966226	8777	12943	8697	17474	15999	15018	5602	1516	277	3059	1960	3231	1469	849	1147	981	166	631	7	16.92150866	64.32212029
2011	5401	LA LIGUA	14.8	1163	8720	29366	38086	77.10444783	22.89555217	32.74806535	19154	27793	18932	38086	34837	32644	12416	2287	2078	6368	5438	8000	3888	2504	3307	2809	316	2113	5	11.249555	75.22249911
2011	5402	CABILDO	12.2	1455	7204	13782	20986	65.672353	34.327647	14.4233677	10271	14841	10715	20986	18932	17595	6651	2474	346	2935	2106	3802	1807	955	1377	1471	237	1014	6	16.11148878	68.93269884
2011	5403	PAPUDO	12.6	166	285	5289	5574	94.88697524	5.113024758	33.57831325	2952	3992	2622	5574	5079	4733	1649	241	68	985	599	1020	339	180	261	349	47	226	4	13.46704871	64.75644699
2011	5404	PETORCA	16.2	1517	2984	6776	9760	69.42622951	30.57377049	6.433750824	4908	7261	4852	9760	8946	8402	2997	830	93	1392	1519	2403	1165	701	957	635	71	451	0	11.18110236	71.02362205
2011	5405	ZAPALLAR	10.3	288	591	6608	7199	91.79052646	8.209473538	24.99652778	3606	5389	3593	7199	6601	6220	2199	311	90	1516	654	1145	476	261	366	962	297	482	27	30.87318087	50.1039501
2011	5501	QUILLOTA	14.8	302	11471	76490	87961	86.95899319	13.04100681	291.2615894	43509	65288	44452	87961	80854	76046	28746	5531	1738	17582	9622	14917	11302	6350	8707	5233	797	3593	32	15.23026944	68.66042423
2011	5502	LA CALERA	18.9	61	2732	52187	54919	95.02540105	4.974598955	900.3114754	26796	39430	28123	54919	49878	46498	17726	1835	1892	11039	8083	11636	7449	4812	6209	2998	432	2095	18	14.4096064	69.87991995
2011	5503	HIJUELAS	15.1	267	9961	8970	18931	47.38259997	52.61740003	70.90262172	9532	13304	9399	18931	17102	15877	5862	2630	279	2084	2723	4131	1636	1045	1402	1287	189	911	8	14.68531469	70.78477078
2011	5504	LA CRUZ	15.9	78	2619	13333	15952	83.58199599	16.41800401	204.5128205	7730	11611	8222	15952	14556	13613	4832	1578	235	2431	2353	3159	1456	990	1251	1037	168	695	5	16.20057859	67.02025072
2011	5506	NOGALES	16.9	405	2516	23549	26065	90.3472089	9.652791099	64.35802469	12942	18264	13123	26065	23533	21809	7292	1896	571	3557	2130	3884	2155	1024	1556	1151	134	806	3	11.64205039	70.02606429
2011	5601	SAN ANTONIO	18.8	405	4679	94441	99120	95.27945924	4.720540759	244.7407407	48919	72969	50201	99120	90723	85090	32733	2181	2389	21180	8630	15233	12718	5834	8961	5095	881	3643	37	17.29146222	71.50147203
2011	5602	ALGARROBO	5.7	176	3437	9574	13011	73.58389055	26.41610945	73.92613636	6518	9515	6493	13011	11849	11080	3324	300	158	2384	1248	1920	1074	609	834	758	96	570	1	12.66490765	75.19788918
2011	5603	CARTAGENA	19.9	246	2028	22914	24942	91.8691364	8.130863604	101.3902439	12474	18281	12468	24942	22811	21375	6028	456	370	3910	2092	3328	1738	1001	1373	1078	122	853	3	11.31725417	79.12801484
2011	5604	EL QUISCO	12	51	1016	14188	15204	93.31754801	6.682451986	298.1176471	7822	11663	7382	15204	14039	13268	3432	175	235	2493	1436	2288	1475	811	1119	860	89	697	0	10.34883721	81.04651163
2011	5605	EL TABO	8.2	99	663	10702	11365	94.16630004	5.833699956	114.7979798	5753	8813	5612	11365	10550	9989	2460	153	137	1707	914	1593	1015	471	707	582	65	445	4	11.16838488	76.4604811
2011	5606	SANTO DOMINGO	8.4	536	1252	7818	9070	86.19625138	13.80374862	16.92164179	4557	6702	4513	9070	8292	7780	2748	815	132	1497	719	1406	548	244	384	1413	479	626	51	33.8995046	44.30290163
2011	5701	SAN FELIPE	12.7	186	6300	71233	77533	91.87442766	8.125572337	416.844086	37382	55471	40151	77533	70444	65637	25103	3183	2613	16090	6630	11267	8029	3862	5801	4957	827	3515	31	16.68347791	70.90982449
2011	5702	CATEMU	9.8	362	6357	6946	13303	52.21378636	47.78621364	36.74861878	6790	9621	6513	13303	12109	11301	4267	1557	284	1730	2250	3371	1219	772	1045	717	94	501	0	13.11018131	69.87447699
2011	5703	LLAILLAY	16.2	349	6953	16646	23599	70.53688716	29.46311284	67.61891117	11689	17151	11910	23599	21482	20075	8024	2164	656	3844	4348	6322	3891	2571	3304	1238	147	874	7	11.87399031	70.59773829
2011	5704	PANQUEHUE	12.3	122	4481	3027	7508	40.31699521	59.68300479	61.54098361	3690	5375	3818	7508	6799	6334	2467	1101	173	884	1076	1684	843	535	708	451	95	283	2	21.06430155	62.74944568
2011	5705	PUTAENDO	9.9	1474	9430	7745	17175	45.09461426	54.90538574	11.65196744	8590	12460	8585	17175	15657	14638	5069	1251	419	2655	2679	3893	1967	1224	1592	936	108	684	1	11.53846154	73.07692308
2011	5706	SANTA MARÍA	9.2	166	3541	11031	14572	75.69997255	24.30002745	87.78313253	7221	10418	7351	14572	13256	12345	4785	1746	192	2159	1998	3465	1775	958	1411	844	152	582	3	18.00947867	68.95734597
2011	5801	QUILPUÉ	12.5	537	1472	159501	160973	99.08556093	0.914439067	299.7635009	78500	122023	82473	160973	148861	140740	48105	1095	4101	35956	14279	21605	16306	8996	12371	6397	927	4605	25	14.49116773	71.98686884
2011	5802	LIMACHE	11.8	294	4559	40882	45441	89.96721023	10.03278977	154.5612245	22598	33199	22843	45441	41551	38928	14521	2805	986	8672	5682	8809	5856	3306	4582	2516	411	1698	6	16.3354531	67.48807631
2011	5803	OLMUÉ	10.2	232	4079	12023	16102	74.66774314	25.33225686	69.40517241	8110	11824	7992	16102	14711	13785	5169	1173	258	3001	1718	3068	1385	678	1012	859	113	580	2	13.1548312	67.52037253
2011	5804	VILLA ALEMANA	15.6	97	1595	130343	131938	98.79109885	1.208901151	1360.185567	64495	97599	67443	131938	121307	114051	35144	850	2962	26044	9504	14580	11777	6333	8780	3897	515	2870	11	13.21529382	73.64639466
2011	6101	RANCAGUA	11.7	260	10383	237650	248033	95.81386348	4.186136522	953.9730769	123477	180465	124556	248033	227683	213427	84397	9850	7246	56395	19472	31779	25738	12638	17953	11179	2222	7413	126	19.87655425	66.31183469
2011	6102	CODEGUA	10.2	287	5677	6917	12594	54.9229792	45.0770208	43.8815331	6394	9076	6200	12594	11475	10728	4264	1684	350	1755	1840	2782	1402	942	1200	538	110	361	5	20.44609665	67.10037175
2011	6103	COINCO	9.4	98	1600	5587	7187	77.73758174	22.26241826	73.33673469	3622	5268	3565	7187	6609	6203	2126	702	245	870	1043	1522	611	405	516	399	58	300	0	14.53634085	75.18796992
2011	6104	COLTAUCO	14.1	225	2950	14596	17546	83.18705118	16.81294882	77.98222222	8811	12767	8735	17546	16100	15131	5673	2280	464	2291	2042	3536	1460	830	1174	984	160	652	12	16.2601626	66.2601626
2011	6105	DOÑIHUE	15.4	78	765	19446	20211	96.21493246	3.785067537	259.1153846	10276	14521	9935	20211	18443	17246	6076	1046	1412	2951	2275	3715	1908	1100	1530	899	147	627	7	16.35150167	69.74416018
2011	6106	GRANEROS	12.7	113	3244	27428	30672	89.42357851	10.57642149	271.4336283	15520	21999	15152	30672	28007	26205	10006	2421	1256	4919	3903	5836	3377	2062	2711	1309	231	915	5	17.64705882	69.90068755
2011	6107	LAS CABRAS	8.7	749	18543	5049	23592	21.40132248	78.59867752	31.49799733	12435	17395	11157	23592	21675	20352	7334	2950	300	3082	3403	5427	2195	1365	1860	1564	240	1074	16	15.34526854	68.67007673
2011	6108	MACHALÍ	17.8	2586	1855	33510	35365	94.75470098	5.245299024	13.67556071	16770	24450	18595	35365	32016	29672	10920	1862	786	7080	5093	6688	3951	2783	3371	1494	271	1016	2	18.13922356	68.00535475
2011	6109	MALLOA	11.3	113	8579	5177	13756	37.63448677	62.36551323	121.7345133	7054	10022	6702	13756	12585	11793	4528	1534	747	1611	1746	2860	1070	581	824	831	132	610	2	15.88447653	73.4055355
2011	6110	MOSTAZAL	12.2	524	5082	21589	26671	80.94559634	19.05440366	50.89885496	13396	19076	13275	26671	24279	22659	8599	2032	1021	4479	2214	3920	2324	1228	1740	4880	829	3446	26	16.98770492	70.6147541
2011	6111	OLIVAR	12.7	45	8185	5796	13981	41.45626207	58.54373793	310.6888889	6854	9628	7127	13981	12588	11651	4708	1484	481	2196	1536	2410	1175	650	917	782	196	479	11	25.06393862	61.25319693
2011	6112	PEUMO	14.7	153	8929	6466	15395	42.00064956	57.99935044	100.620915	7924	11219	7471	15395	14139	13252	5137	1939	515	2177	2409	3457	1504	1026	1306	866	123	633	4	14.20323326	73.09468822
2011	6113	PICHIDEGUA	11.9	320	12997	6252	19249	32.47960933	67.52039067	60.153125	9930	14314	9319	19249	17778	16740	6091	2768	304	2000	1903	3674	1316	617	947	1430	166	1044	9	11.60839161	73.00699301
2011	6114	QUINTA DE TILCOCO	9.3	93	7060	5042	12102	41.66253512	58.33746488	130.1290323	6171	9086	5931	12102	11174	10548	4175	1835	372	1405	1801	2888	1110	647	899	6752	1627	4240	96	24.09656398	62.79620853
2011	6115	RENGO	12.3	592	16392	44465	60857	73.0647255	26.9352745	102.7989865	30415	43406	30442	60857	55423	51745	19152	4410	2416	9676	6336	10478	6426	3466	4984	2702	490	1883	20	18.13471503	69.68911917
2011	6116	REQUINOA	10.2	673	14519	11433	25952	44.05440814	55.94559186	38.56166419	13250	18405	12702	25952	23643	22067	8796	3181	1051	3713	1901	3822	1698	675	1179	1375	313	872	16	22.76363636	63.41818182
2011	6117	SAN VICENTE	7.4	476	16990	30182	47172	63.98287119	36.01712881	99.10084034	23515	34204	23657	47172	43332	40583	14619	4263	1476	6895	5674	8985	4606	2551	3615	3496	462	2520	2	13.21510297	72.08237986
2011	6201	PICHILEMU	17.6	749	2994	11949	14943	79.96386268	20.03613732	19.9506008	7845	11171	7098	14943	13766	12962	4424	1285	279	2340	2165	3135	1513	914	1226	1227	90	1016	2	7.334963325	82.80358598
2011	6202	LA ESTRELLA	15.7	435	1733	3040	4773	63.69159858	36.30840142	10.97241379	3186	3836	1587	4773	4525	4342	1138	289	46	654	433	737	278	165	227	234	37	155	1	15.81196581	66.23931624
2011	6203	LITUECHE	15.7	619	2806	2800	5606	49.94648591	50.05351409	9.056542811	3018	4133	2588	5606	5162	4847	1833	531	110	927	1016	1566	733	431	614	325	35	263	0	10.76923077	80.92307692
2011	6204	MARCHIHUE	7.8	660	4442	3325	7767	42.80932149	57.19067851	11.76818182	3938	5821	3829	7767	7191	6785	2434	992	295	933	898	1558	574	309	450	479	84	338	0	17.53653445	70.56367432
2011	6205	NAVIDAD	10.1	300	4878	590	5468	10.79005121	89.20994879	18.22666667	2947	4334	2521	5468	5116	4873	1406	312	61	783	1024	1487	565	328	437	262	28	215	0	10.6870229	82.0610687
2011	6206	PAREDONES	16.7	562	4788	2017	6805	29.63997061	70.36002939	12.10854093	3812	5259	2993	6805	6344	6014	1904	676	75	819	1274	1791	532	359	462	359	32	292	0	8.913649025	81.33704735
2011	6301	SAN FERNANDO	14.2	2441	15972	57273	73245	78.19373336	21.80626664	30.00614502	35860	53032	37385	73245	67229	62961	24892	3874	2561	15464	7225	11809	8006	4301	6125	1037	202	717	20	19.47926712	69.14175506
2011	6302	CHÉPICA	15.6	503	7910	5860	13770	42.55628177	57.44371823	27.37574553	7112	10434	6658	13770	12772	12076	4461	2045	143	1582	1964	3319	1280	690	1019	1094	133	807	0	12.15722121	73.76599634
2011	6303	CHIMBARONGO	18.1	498	13679	20923	34602	60.46760303	39.53239697	69.48192771	17705	25032	16897	34602	31730	29736	11969	5508	982	4064	3618	6248	2570	1401	2057	2570	323	1883	6	12.56809339	73.26848249
2011	6304	LOLOL	16.7	597	4724	1880	6604	28.4675954	71.5324046	11.06197655	3603	5043	3001	6604	6149	5819	2030	881	137	700	1025	1726	606	322	472	434	59	321	1	13.59447005	73.96313364
2011	6305	NANCAGUA	13.9	111	9270	8060	17330	46.50894403	53.49105597	156.1261261	8885	12529	8445	17330	15882	14872	5483	2069	439	2039	2080	3468	1563	832	1217	1153	175	841	1	15.17779705	72.94015611
2011	6306	PALMILLA	9.1	237	8195	3491	11686	29.87335273	70.12664727	49.30801688	6060	8799	5626	11686	10800	10197	3816	1523	517	1190	1538	2592	822	490	681	984	103	723	3	10.46747967	73.47560976
2011	6307	PERALILLO	19.5	283	4984	5524	10508	52.56947088	47.43052912	37.13074205	5488	7918	5020	10508	9728	9180	3333	1100	540	1311	1547	2610	1224	685	968	829	117	595	2	14.11338963	71.77322075
2011	6308	PLACILLA	15.6	147	6706	1802	8508	21.18006582	78.81993418	57.87755102	4334	6277	4174	8508	7832	7368	2929	1314	308	883	1083	1797	730	389	569	662	121	446	1	18.27794562	67.37160121
2011	6309	PUMANQUE	11.4	441	3122	0	3122	0	100	7.079365079	1621	2420	1501	3122	2918	2767	1050	395	75	391	374	718	299	138	220	219	18	151	0	8.219178082	68.94977169
2011	6310	SANTA CRUZ	15	420	18970	17721	36691	48.29794773	51.70205227	87.35952381	18472	26873	18219	36691	33770	31671	11709	2612	938	6570	5656	8337	4282	2730	3558	3007	468	2121	15	15.56368474	70.53541736
2011	7101	TALCA	19.3	232	11524	234740	246264	95.32046909	4.67953091	1061.482759	119883	177947	126381	246264	225581	211330	78055	3775	8560	53388	24199	36849	23353	13584	18324	13410	2205	9266	85	16.44295302	69.09768829
2011	7102	CONSTITUCIÓN	19.4	1344	13702	40744	54446	74.83378026	25.16621974	40.51041667	27521	37849	26925	54446	49102	45522	17230	3615	3165	8618	4421	7642	3404	1709	2530	2596	596	1695	24	22.95839753	65.29275809
2011	7103	CUREPTO	13	1074	5224	4305	9529	45.17787806	54.82212194	8.872439479	5172	7410	4357	9529	8885	8425	3686	1574	197	1436	1637	2566	922	431	676	421	37	340	0	8.788598575	80.76009501
2011	7104	EMPEDRADO	33.8	565	1830	2197	4027	54.55674199	45.44325801	7.127433628	2078	2833	1949	4027	3624	3359	1423	602	154	471	917	1232	336	238	296	182	46	120	0	25.27472527	65.93406593
2011	7105	MAULE	18.9	238	8429	13100	21529	60.8481583	39.1518417	90.45798319	11055	15209	10474	21529	19551	18212	5735	1915	700	2058	7039	9236	4662	3450	4184	1553	186	1140	4	11.97681906	73.40631037
2011	7106	PELARCO	22.1	332	4122	2832	6954	40.72476273	59.27523727	20.94578313	3508	5239	3446	6954	6416	6055	2300	1162	74	591	1352	1975	586	353	503	572	65	382	2	11.36363636	66.78321678
2011	7107	PENCAHUE	6.6	957	6099	3035	9134	33.22750164	66.77249836	9.544409613	4971	6716	4163	9134	8373	7842	3152	1781	171	761	1795	2346	775	553	703	528	94	351	1	17.8030303	66.47727273
2011	7108	RÍO CLARO	17.8	431	9841	3177	13018	24.40467046	75.59532954	30.20417633	6777	9546	6241	13018	11942	11201	4681	2784	178	1071	1923	3222	957	547	763	765	75	515	0	9.803921569	67.32026144
2011	7109	SAN CLEMENTE	15.6	4504	30692	8382	39074	21.45160465	78.54839535	8.675399645	19355	27866	19719	39074	35518	33097	12480	4965	435	4125	10358	12542	4173	3444	3948	2345	294	1663	5	12.53731343	70.91684435
2011	7110	SAN RAFAEL	26.8	264	3983	4455	8438	52.7968713	47.2031287	31.96212121	4247	5937	4191	8438	7627	7079	2488	904	162	944	1310	2098	723	408	572	497	41	359	3	8.249496982	72.2334004
2011	7201	CAUQUENES	29.2	2126	12985	29891	42876	69.71499207	30.28500793	20.16745061	20864	31656	22012	42876	39588	37195	13757	2874	1480	7167	6296	9830	5890	3224	4609	2842	340	2140	2	11.96340605	75.29908515
2011	7202	CHANCO	21.2	530	5253	4332	9585	45.19561815	54.80438185	18.08490566	4958	6987	4627	9585	8787	8216	2786	1028	312	1071	1692	2408	825	500	664	429	43	330	1	10.02331002	76.92307692
